,d1,d2
0,24.598907,-43.357147
1,-10.170228,16.408358
2,-4.949208,20.377275
3,46.29064,7.4802713
4,-21.366362,15.134789
5,-4.847276,-49.522083
6,29.580475,-43.6459
7,19.582727,-40.851254
8,-15.718189,-59.290882
9,-37.91738,7.862437
10,18.280796,-47.451466
11,-10.243707,53.19654
12,-6.2720666,57.383846
13,38.05218,-4.779806
14,-48.25583,20.859364
15,60.191074,19.426613
16,-4.769317,20.21396
17,-29.485987,-58.93188
18,-41.93992,16.536028
19,43.298683,-12.381058
20,25.596115,3.9896526
21,2.4146357,53.433285
22,-61.874523,-7.635327
23,45.453686,-45.44885
24,-29.463255,-59.01274
25,-15.482823,-59.460094
26,30.528538,-42.346645
27,-23.50112,25.993683
28,57.318592,21.904558
29,43.790054,14.434825
30,9.071096,-10.508479
31,15.084672,14.170143
32,-26.348873,3.8365648
33,40.623833,-1.7979943
34,-4.4718046,56.678013
35,-21.4002,15.13124
36,49.831882,-42.045307
37,29.090687,34.095028
38,-3.5108304,-17.517601
39,7.434692,-10.100076
40,-49.488125,20.01916
41,54.090057,-3.9970832
42,48.796616,-31.959951
43,-14.924499,-57.30761
44,-9.973944,-0.6787262
45,17.355625,-36.703957
46,-17.533855,24.620256
47,-6.1622124,28.46083
48,52.653812,0.90388304
49,-4.9155445,20.37631
50,-3.1561842,63.800365
51,-62.95863,-6.339602
52,8.429667,45.936855
53,-21.96146,7.911939
54,31.871983,-46.39023
55,-36.026436,-23.986404
56,-10.293078,53.628525
57,34.98047,-45.419914
58,18.83813,59.63906
59,-40.83442,-46.92732
60,-53.88493,17.562004
61,-21.37622,15.109622
62,-53.79818,12.077615
63,-0.8703151,18.931458
64,-3.4303367,-17.146738
65,42.020718,9.802435
66,-48.138756,12.657583
67,7.8655953,-10.166276
68,20.88484,-19.742744
69,-31.519627,46.491013
70,18.35591,-47.582573
71,2.1491585,40.60257
72,47.59886,-26.938505
73,8.380261,40.45434
74,33.22225,42.92074
75,-38.87774,27.530512
76,-8.205957,54.429466
77,-15.590231,-23.60144
78,1.1043495,37.766457
79,0.9059853,-31.781576
80,-54.578846,4.0396304
81,25.507164,4.1982284
82,39.625355,54.141228
83,-53.151974,-36.154896
84,-22.092274,7.723908
85,42.62163,-5.220872
86,1.9681001,29.968826
87,-24.452227,18.023321
88,9.873738,23.29224
89,-47.0248,22.27252
90,-24.354755,19.127386
91,41.801704,9.616954
92,13.661951,20.37179
93,-56.849995,1.9229884
94,54.590813,0.5167088
95,-22.783667,-59.585667
96,-33.93468,26.74191
97,54.32613,1.4395254
98,20.72693,17.341078
99,-11.665697,-37.04541
100,27.716084,34.123096
101,18.045584,-35.86839
102,17.66107,-26.845722
103,-53.3526,17.471458
104,35.051643,-37.258896
105,-13.78426,19.055754
106,2.435378,53.48432
107,-23.499527,-16.462414
108,-11.880267,30.851217
109,60.21324,19.29182
110,-1.6341349,-46.75657
111,19.354643,41.008553
112,4.3779564,-26.232048
113,43.2016,-12.186366
114,25.68348,3.4579718
115,-23.942713,11.684776
116,5.18767,-57.290646
117,32.278667,-13.504853
118,2.414267,53.3663
119,33.054466,30.251257
120,-61.98001,-7.274181
121,-40.171314,-19.045275
122,-13.336976,19.070904
123,33.438454,29.865265
124,8.304074,-55.5585
125,-22.769655,50.20175
126,-34.163574,26.947842
127,25.46342,16.597406
128,6.548085,-3.9454408
129,-40.19887,22.52103
130,-25.133368,20.347446
131,-22.137535,17.346928
132,24.197878,-59.315285
133,-5.0709085,-15.753842
134,-33.648033,27.581108
135,-1.0479158,19.155476
136,-23.685797,-2.8472896
137,-47.27975,22.123308
138,-41.274406,17.64024
139,-38.618416,24.774588
140,-39.146534,27.568068
141,-32.28851,5.969904
142,-46.10225,23.20509
143,16.273886,28.74584
144,33.099014,5.620712
145,40.67845,-1.6257609
